code,name,market,market_cap,sector_krx,sector_override,sector_display,sector_kis,sector_kis_lcls
005930,삼성전자,KOSPI,1521494000000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
000660,SK하이닉스,KOSPI,1236723600000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
402340,SK스퀘어,KOSPI,137332900000000,기타금융,,기타금융,기타 금융업,기타 금융업
009150,삼성전기,KOSPI,104421800000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
373220,LG에너지솔루션,KOSPI,85410000000000,전기·전자,,전기·전자,일차전지 및 축전지 제조업,일차전지 및 축전지 제조업
005380,현대차,KOSPI,82107900000000,운송장비·부품,,운송장비·부품,운수장비,운수장비
207940,삼성바이오로직스,KOSPI,69482700000000,제약,,제약,기초 의약물질 및 생물학적 제제 제조업,기초 의약물질 및 생물학적 제제 제조업
032830,삼성생명,KOSPI,60200000000000,보험,,보험,보험업,보험업
028260,삼성물산,KOSPI,59839800000000,유통,,유통,기타 전문 도매업,기타 전문 도매업
105560,KB금융,KOSPI,59126400000000,기타금융,,기타금융,금융업,금융업
012450,한화에어로스페이스,KOSPI,58318200000000,운송장비·부품,,운송장비·부품,의료정밀,의료정밀
034020,두산에너빌리티,KOSPI,55088300000000,기계·장비,,기계·장비,기계,기계
055550,신한지주,KOSPI,50794500000000,기타금융,,기타금융,금융업,금융업
329180,HD현대중공업,KOSPI,49384300000000,운송장비·부품,,운송장비·부품,선박 및 보트 건조업,선박 및 보트 건조업
006400,삼성SDI,KOSPI,46175500000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
068270,셀트리온,KOSPI,43941400000000,제약,,제약,증권,기초 의약물질 및 생물학적 제제 제조업
012330,현대모비스,KOSPI,40598900000000,운송장비·부품,,운송장비·부품,운수장비,운수장비
034730,SK,KOSPI,39006500000000,기타금융,,기타금융,기타 금융업,기타 금융업
086790,하나금융지주,KOSPI,36408600000000,기타금융,,기타금융,금융업,금융업
035420,NAVER,KOSPI,34293200000000,IT 서비스,,IT 서비스,서비스업,서비스업
010120,LS ELECTRIC,KOSPI,32850000000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
066570,LG전자,KOSPI,32202300000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
267260,HD현대일렉트릭,KOSPI,29883100000000,전기·전자,,전기·전자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
000810,삼성화재,KOSPI,29779900000000,보험,,보험,금융업,보험
298040,효성중공업,KOSPI,29661400000000,전기·전자,,전기·전자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
010130,고려아연,KOSPI,28303700000000,금속,,금속,철강및금속,철강및금속
042660,한화오션,KOSPI,27301400000000,운송장비·부품,,운송장비·부품,운수장비,운수장비
005490,POSCO홀딩스,KOSPI,26625200000000,금속,,금속,철강및금속,철강및금속
009540,HD한국조선해양,KOSPI,25407500000000,기타금융,,기타금융,운수장비,운수장비
316140,우리금융지주,KOSPI,24027000000000,기타금융,,기타금융,기타 금융업,기타 금융업
017670,SK텔레콤,KOSPI,21457500000000,통신,,통신,통신업,통신업
196170,알테오젠,KOSDAQ,21349300000000,일반서비스,,일반서비스,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
042700,한미반도체,KOSPI,20539800000000,기계·장비,,기계·장비,기계,기계
011200,HMM,KOSPI,20091000000000,운송·창고,,운송·창고,운수창고,운수창고
138040,메리츠금융지주,KOSPI,19914300000000,기타금융,,기타금융,기타 금융업,기타 금융업
000150,두산,KOSPI,19594500000000,기타금융,,기타금융,음식료품,음식료품
051910,LG화학,KOSPI,19412900000000,화학,,화학,화학,화학
096770,SK이노베이션,KOSPI,19373400000000,화학,,화학,화학,화학
018260,삼성에스디에스,KOSPI,18957600000000,IT 서비스,,IT 서비스,보험,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
010140,삼성중공업,KOSPI,18722000000000,운송장비·부품,,운송장비·부품,운수장비,운수장비
033780,KT&G,KOSPI,17959200000000,음식료·담배,,음식료·담배,담배 제조업,담배 제조업
003550,LG,KOSPI,17326600000000,기타금융,,기타금융,서비스업,서비스업
267250,HD현대,KOSPI,17220500000000,기타금융,,기타금융,기타 금융업,기타 금융업
278470,에이피알,KOSPI,16865900000000,화학,화장품,화장품,기타 화학제품 제조업,기타 화학제품 제조업
003670,포스코퓨처엠,KOSPI,16401700000000,전기·전자,,전기·전자,증권,일차전지 및 축전지 제조업
010950,S-Oil,KOSPI,16302000000000,화학,,화학,화학,화학
035720,카카오,KOSPI,16213100000000,IT 서비스,,IT 서비스,KOGI(지배구조지수),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업"
024110,기업은행,KOSPI,16187700000000,은행,,은행,금융업,은행
